,Author,Title,Journal,Year of publication,DOI number,Scholar Links
44, X. Xu et al., Dielectronic and trielectronic recombination rate coefficients of Be-like Ar14+, Astrophys J Suppl Ser,2018,https://doi.org/10.3847%2F1538-4365%2Faaa5b3,http://scholar.google.com/scholar_lookup?&title=Dielectronic%20and%20trielectronic%20recombination%20rate%20coefficients%20of%20Be-like%20Ar14%2B&journal=Astrophys.%20J.%20Suppl.%20Ser.&doi=10.3847%2F1538-4365%2Faaa5b3&volume=235&publication_year=2018&author=Huang%2CZK&author=Wen%2CWQ&author=Xu%2CX
45, S.X. Wang et al., Absolute rate coefficients for dielectronic recombination of Na-like Kr25+, Phys Rev,2020,https://doi.org/10.1103%2FPhysRevA.102.062823,http://scholar.google.com/scholar_lookup?&title=Absolute%20rate%20coefficients%20for%20dielectronic%20recombination%20of%20Na-like%20Kr25%2B&journal=Phys.%20Rev.%20A&doi=10.1103%2FPhysRevA.102.062823&volume=102&publication_year=2020&author=Huang%2CZK&author=Wen%2CWQ&author=Wang%2CSX
46, X. Xu et al., Dielectronic recombination experiments at the storage rings: from the present CSR to the future HIAF, Nucl Instrum Meth B,2017,https://doi.org/10.1016%2Fj.nimb.2017.04.024,http://scholar.google.com/scholar_lookup?&title=Dielectronic%20recombination%20experiments%20at%20the%20storage%20rings%3A%20from%20the%20present%20CSR%20to%20the%20future%20HIAF&journal=Nucl.%20Instrum.%20Meth.%20B.&doi=10.1016%2Fj.nimb.2017.04.024&volume=408&pages=135-139&publication_year=2017&author=Huang%2CZK&author=Wen%2CWQ&author=Xu%2CX
47, S.F. Zhang et al., HIAF: new opportunities for atomic physics with highly-charged heavy ions, Nucl Instrum Meth B,2017,https://doi.org/10.1016%2Fj.nimb.2017.03.129,http://scholar.google.com/scholar_lookup?&title=HIAF%3A%20new%20opportunities%20for%20atomic%20physics%20with%20highly-charged%20heavy%20ions&journal=Nucl.%20Instrum.%20Meth.%20B.&doi=10.1016%2Fj.nimb.2017.03.129&volume=408&pages=169-173&publication_year=2017&author=Ma%2CX&author=Wen%2CWQ&author=Zhang%2CSF
48, W. Greiner, Electron shells in over-critical external fields, Z Phy,1972,https://doi.org/10.1007%2FBF01398198,http://scholar.google.com/scholar_lookup?&title=Electron%20shells%20in%20over-critical%20external%20fields&journal=Z.%20Phy.%20A&doi=10.1007%2FBF01398198&volume=257&pages=62-77&publication_year=1972&author=Muller%2CB&author=Rafelski%2CJ&author=Greiner%2CW
49, J. Reinhardt et al., Positron production in crossed beams of bare uranium nuclei, Phys Rev,1988,https://doi.org/10.1103%2FPhysRevA.37.1449,http://scholar.google.com/scholar_lookup?&title=Positron%20production%20in%20crossed%20beams%20of%20bare%20uranium%20nuclei&journal=Phys.%20Rev.%20A&doi=10.1103%2FPhysRevA.37.1449&volume=37&pages=1449-1455&publication_year=1988&author=Muller%2CU&author=Reus%2CT&author=Reinhardt%2CJ
50, I.I. Tupitsyn et al., Electron-positron pair creation in low-energy collisions of heavy bare nuclei, Phys Rev,2015,https://doi.org/10.1103%2FPhysRevA.91.032708,http://scholar.google.com/scholar_lookup?&title=Electron-positron%20pair%20creation%20in%20low-energy%20collisions%20of%20heavy%20bare%20nuclei&journal=Phys.%20Rev.%20A&doi=10.1103%2FPhysRevA.91.032708&volume=91&publication_year=2015&author=Maltsev%2CIA&author=Shabaev%2CVM&author=Tupitsyn%2CII
51, A. Brauning-Demian et al., Atomic physics with highly-charged heavy ions at the GSI future facility: the scientific program of the SPARC collaboration, Nucl Instrum Meth B,2005,https://doi.org/10.1016%2Fj.nimb.2005.03.082,http://scholar.google.com/scholar_lookup?&title=Atomic%20physics%20with%20highly-charged%20heavy%20ions%20at%20the%20GSI%20future%20facility%3A%20the%20scientific%20program%20of%20the%20SPARC%20collaboration&journal=Nucl.%20Instrum.%20Meth.%20B.&doi=10.1016%2Fj.nimb.2005.03.082&volume=233&pages=28-30&publication_year=2005&author=Gumberidze%2CA&author=Bosch%2CF&author=Brauning-Demian%2CA
52, C. Thibault, Recent trends in the determination of nuclear masses, Rev Mod Phys,2003,https://doi.org/10.1103%2FRevModPhys.75.1021,http://scholar.google.com/scholar_lookup?&title=Recent%20trends%20in%20the%20determination%20of%20nuclear%20masses&journal=Rev.%20Mod.%20Phys.&doi=10.1103%2FRevModPhys.75.1021&volume=75&pages=1021-1082&publication_year=2003&author=Lunney%2CD&author=Pearson%2CJM&author=Thibault%2CC
53,No Data Found, High-accuracy mass spectrometry with stored ions, Phys Rep,2006,https://doi.org/10.1016%2Fj.physrep.2005.10.011,http://scholar.google.com/scholar_lookup?&title=High-accuracy%20mass%20spectrometry%20with%20stored%20ions&journal=Phys.%20Rep.&doi=10.1016%2Fj.physrep.2005.10.011&volume=425&pages=1-78&publication_year=2006&author=Blaum%2CK
